value_name,activity_name,advice_text,advice_details
equity,putting on an exhibit,"Who will be attending your event? How have you marketed your event, and to who?",
equity,putting on an exhibit,Are your primary source creators diverse?,
equity,putting on an exhibit,"Whose stories are being told, and by whom?","When putting on an exhibit, you are telling a set of stories—about art, about history, about a group of people or a place.

By thinking about what stories are being told and what stories you might be omitting, you can be more intentional and equitable to historically marginalized or erased populations. If your exhibit centers on a geographic area, are you only displaying stories of the colonizers of that area, or also including indigenous stories? If you’re displaying art from a particular time period, are you only displaying the agreed-upon “canonical” artists of that period, a categorization often rooted in exclusion and white supremacy, or are you digging deeper to display genuine diversity of expression?

Of course, the context of your curation always has other factors, but if you are creating an exhibit with equity in mind, it is necessary to be aware of the factors that create exclusion. If you find that you cannot uplift marginalized voices because the boundaries of your exhibit are too narrow—for example, a specific school of painters all of whom were white men—this may require a more fundamental shift. Interrogate why you want to create work around that school. If you still wish to do so, then perhaps include framing that acknowledges that school itself as exclusionary, and explains the economic and social barriers to inclusion for people outside of white cis masculinity."
equity,putting on an exhibit,Is it affordable/open to the public?,
equity,putting on an exhibit,"Is it accessible (for people with mobility issues, people with visual impairments, etc?)",
equity,putting on an exhibit,Have you engaged with the public/involved your research subjects in your process?,
equity,putting on an exhibit,Have you considered what public good this is serving?,
equity,putting on an exhibit,Is your exhibit available for remote visitors or users?,
equity,putting on an exhibit,Are you being transparent about your framing?,
equity,putting on an exhibit,Are you being mindful of marginalized populations?,
equity,putting on an exhibit,Whose voices or stories might be omitted from your output?,"When putting on an exhibit, you are telling a set of stories—about art, about history, about a group of people or a place.

By thinking about what stories are being told and what stories you might be omitting, you can be more intentional and equitable to historically marginalized or erased populations. If your exhibit centers on a geographic area, are you only displaying stories of the colonizers of that area, or also including indigenous stories? If you’re displaying art from a particular time period, are you only displaying the agreed-upon “canonical” artists of that period, a categorization often rooted in exclusion and white supremacy, or are you digging deeper to display genuine diversity of expression?

Of course, the context of your curation always has other factors, but if you are creating an exhibit with equity in mind, it is necessary to be aware of the factors that create exclusion. If you find that you cannot uplift marginalized voices because the boundaries of your exhibit are too narrow—for example, a specific school of painters all of whom were white men—this may require a more fundamental shift. Interrogate why you want to create work around that school. If you still wish to do so, then perhaps include framing that acknowledges that school itself as exclusionary, and explains the economic and social barriers to inclusion for people outside of white cis masculinity."
equity,putting on an exhibit,Are you being deliberate about who you are including and excluding,"When putting on an exhibit, you are telling a set of stories—about art, about history, about a group of people or a place.

By thinking about what stories are being told and what stories you might be omitting, you can be more intentional and equitable to historically marginalized or erased populations. If your exhibit centers on a geographic area, are you only displaying stories of the colonizers of that area, or also including indigenous stories? If you’re displaying art from a particular time period, are you only displaying the agreed-upon “canonical” artists of that period, a categorization often rooted in exclusion and white supremacy, or are you digging deeper to display genuine diversity of expression?

Of course, the context of your curation always has other factors, but if you are creating an exhibit with equity in mind, it is necessary to be aware of the factors that create exclusion. If you find that you cannot uplift marginalized voices because the boundaries of your exhibit are too narrow—for example, a specific school of painters all of whom were white men—this may require a more fundamental shift. Interrogate why you want to create work around that school. If you still wish to do so, then perhaps include framing that acknowledges that school itself as exclusionary, and explains the economic and social barriers to inclusion for people outside of white cis masculinity."
equity,putting on an exhibit,Has the community had a chance to shape your output?,
community,putting on an exhibit,How and to whom will this output be available in the future?,
community,putting on an exhibit,How does this object contribute to or shape evolving discourse?,
community,putting on an exhibit,Is there ongoing community engagement after the exhibit concludes?,
community,putting on an exhibit,Have you considered what is due to the communities relevant to your exhibit?,"When crafting an exhibit, you might consider three kinds of communities: the community you are presenting or writing to, the community you’re presenting or writing about, and the community of your scholarly peers. "
community,putting on an exhibit,Who is your exhibit for?,
community,putting on an exhibit,Does your work require an non-disclosure agreement?,
community,putting on an exhibit,Have you considered the privacy implications of your work?,
community,putting on an exhibit,"Have you considered ethical, religious, or cultural implications/impact of sharing your material or data publicly?",
community,putting on an exhibit,"Are there other potential users of this object, how will you allow for their needs?",
community,putting on an exhibit,Have you considered how you intend for people to interact with your exhibit?,
community,putting on an exhibit,Who else will work on this project and what are their roles and time commitments?,
community,putting on an exhibit,How will you encourage your intended communities to engage with the project?,
openness,putting on an exhibit,Will the data underlying the project be usable by others and licensed as such?,
openness,putting on an exhibit,Is information about your project available in a machine-readable format?,
openness,putting on an exhibit,Are you allowing reuse of your data?,
openness,putting on an exhibit,Are you allowing derivatives of your project?,
openness,putting on an exhibit,Does your project use materials that are freely available or openly licensed?,
openness,putting on an exhibit,"Are you making your decision-making process transparent (before, during, and/or after the fact)?",
openness,putting on an exhibit,Have you shared your challenges and failures (if you’ve encountered them)?,
openness,putting on an exhibit,How will this project be available in the future?,
openness,putting on an exhibit,To whom are you accountable and how?,
collegiality,putting on an exhibit,Have you credited all contributors to your project?,
collegiality,putting on an exhibit,Have you created a space in which people can give honest feedback?,
collegiality,putting on an exhibit,Have you recognized feedback that has improved your project?,
collegiality,putting on an exhibit,Have you recognized the individual needs of your collaborators?,
collegiality,putting on an exhibit,Are you accommodating different learning styles?,
collegiality,putting on an exhibit,How have you amplified the previous or related work of others?,
collegiality,putting on an exhibit,Have you established parameters of respectful engagement with your work / handling of exhibition materials?,
collegiality,putting on an exhibit,Are you providing mentorship opportunities or professional dev opportunities as part of this project?,
collegiality,putting on an exhibit,"How are you empowering collaborators to lead, to learn new skills, to advance their careers?",
soundness,putting on an exhibit,How well are you living up to the values you’ve articulated?,
soundness,putting on an exhibit,Did you meet your research goals and how were those goals determined?,
soundness,putting on an exhibit,Have you solicited feedback from multiple viewpoints and incorporated it into your work?,
soundness,putting on an exhibit,"Who has had an ability to give you feedback, and at what stage?",
soundness,putting on an exhibit,Is the work creative or novel?,
soundness,putting on an exhibit,How will your work inspire creative or academic responses?,
soundness,putting on an exhibit,How ill your work inform or shape public discourse?,
soundness,putting on an exhibit,Did you reach your audience and were they engaged?,
soundness,putting on an exhibit,Has your work been reviewed by experts?,
soundness,putting on an exhibit,Does the style/method/approach communicate effectively to your audience?,
soundness,putting on an exhibit,Is the research question interesting?,
soundness,putting on an exhibit,Who is your intended audience? Does your work advance knowledge for them?,
equity,editing a journal,Who is on your editorial board? By what criteria were they chosen?,
equity,editing a journal,"What is your editorial process? If you’re inviting authors, how do you choose who to invite?",
equity,editing a journal,"If you publish special issues, do you consider highlighting underrepresented areas in your field?",
equity,editing a journal,Do you have clear guidelines for your authors and reviewers to encourage inclusive citation practices?,
equity,editing a journal,"Who are your peer reviewers? Are they diverse (in terms of race, gender, geography, speciality)?",
equity,editing a journal,What is your peer review process? Do you ask reviewers to provide formative feedback and do you provide them with guidance?,
equity,editing a journal,How do you accommodate or mentor non-native speakers if you publish only in one language?,
equity,editing a journal,How often do you review your publishing contract with your publisher and amend it accordingly? Are you actively participating in licensing and pricing decisions?,
equity,editing a journal,How much does it cost to read or publish in your journal? Are there fee waivers available and how are they determined?,
equity,editing a journal,What activities do you and your editorial board undertake to encourage articles from underrepresented and early-career authors?,
community,editing a journal,"Do you use CRediT, Publons, or other recognition systems to draw attention to the many roles played in the production of published research?",
community,editing a journal,Do you link out to references cited in the works you publish?,
community,editing a journal,Did you involve members of those communities who are the focus of the content of the published piece in the editorial process?,
community,editing a journal,"Do you encourage readers to engage with the articles you publish (via comment, annotation, or other)?",
community,editing a journal,Did the call for papers or contributions go to all relevant communities? ,
openness,editing a journal,What is your review process? Have you considered having peer-to-peer or open peer review?,
openness,editing a journal,Are your acceptance criteria clear and readily available to authors?,
openness,editing a journal,Are your pre-print policies clear and readily available to authors?,
openness,editing a journal,"Does the journal have an open-access policy? If not, how does the journal make resources available to the broader public?",
openness,editing a journal,Do you encourage the use of open identifiers to facilitate discovery and credit?,
openness,editing a journal,"Do you encourage readers to engage with the articles you publish (via comment, annotation, or other)?","Do you encourage readers to engage with the articles you publish (via comment, annotation, or other)?

Encouraging discussion of the scholarship you publish can benefit not only your authors, but the larger community of your intended audience. While comment sections are notoriously problematic, there are a variety of other ways to gather feedback and generate discussion around articles you publish. For example, see the model used by the <a href=""https://publicphilosophyjournal.org/"">Public Philosophy Journal</a>, or consider encouraging use of <a href=""https://hypothes.is"">hypothes.is</a> on open access work.
"
openness,editing a journal,Do you encourage the submission of non-traditional research formats (beyond the article)?,
openness,editing a journal,"If data are used or cited, are they openly available and linked to?",
openness,editing a journal,Do you provide API access to your content?,
collegiality,editing a journal,"In the editorial process, what are your internal strategies for collaboration?",
collegiality,editing a journal,"How did you encourage formative, helpful review?",
collegiality,editing a journal,How did you mitigate toxic or unhelpful reviews?,
collegiality,editing a journal,"How do you recognize your reviewers, co-editors, and other contributors to the journal for their work?",
collegiality,editing a journal,Are your peer reviewers being compensated or appreciated for their time? Are they recognized for their work publicly or privately?,
soundness,editing a journal,Are the values of the journal instantiated in the processes and products of publication?,
soundness,editing a journal,"Are peer reviewers given enough time to do substantive, careful review?",
soundness,editing a journal,"Are the articles well edited for grammar, clarity, coherence, etc.?",
soundness,editing a journal,Are the expectations for a quality review articulated? Is there a process to provide feedback to peer reviewers on the quality of their work?,
soundness,editing a journal,Do the articles in the volume hold together in a coherent way?,
soundness,editing a journal,Were the data collected for articles in the journal in an ethical way? Were relevant institutional review boards engaged in approving the research being published?,
soundness,editing a journal,Does the journal provide an original perspective on the field or establish an orginal approach to the subject matter?,
equity,creating a syllabus,Who are you assigning and why?,
equity,creating a syllabus,"Are you paying attention to demographic, geographic, temporal diversity?",
equity,creating a syllabus,Are the texts you’re assigning accessible?,"Are they OA, or inexpensive to purchase? If not, are there ways for you to offer them freely?  If the resources are online, are they accessible by screen reader? There are free screen readers available that you can use to test resources: <a href=""https://webaim.org/articles/nvda/"">NVDA (Windows)</a> or <a href=""https://webaim.org/articles/voiceover/"">Voiceover (Mac)</a>."
equity,creating a syllabus,Are the texts you’re assigning available in other languages (if it would be appropriate to read them in such)?,
equity,creating a syllabus,"If you are working from a previous version of a syllabus, how much are you updating it to reflect new and emerging voices in the field?","We understand that in many people are not in full control of the content of their syllabi, especially if you're in an adjunct position or are teaching a core course for a discipline. However, one of the goals of this project is to highlight the places scholars do have power over their own work, and to recognize those moments of agency as scholarly work. Consider how you can open up and take control of your courses even within the constraints given by your institution. "
equity,creating a syllabus,Do you have an accessibility policy stated clearly in your syllabus? ,"Information on how to create an accessibility policy for your syllabus can be found on <a href=""https://www.accessiblesyllabus.com/policy/"">AccessibleSyllabus.com</a>. "
equity,creating a syllabus,Have you provided a range of assignments for students with strengths in different learning modalities?,
community,creating a syllabus,Does your syllabus include activities that engage others outside the classroom?,"Does your syllabus include activities that engage others outside the classroom?

While often our first instinct as instructors is to consider the class itself a community, students can greatly benefit from connecting with the larger academic and local populations. Some examples might be working with the university library to find research materials, partnering with another course in a cross-disciplinary way (i.e. connecting historians to students in fine arts, or encouraging scholarship that engages with the communities (including, if possible, indigenous communities) physically surrounding your institution. "
community,creating a syllabus,Whose work(s) are you bringing together in conversation through your syllabus? Why?,
community,creating a syllabus,Does your syllabus include a code of conduct?,
community,creating a syllabus,What are the values embedded in your grading policies?,
community,creating a syllabus,Are students asked to engage with each other as well as with the texts and other materials?,
openness,creating a syllabus,Are you using primarily or solely open educational resources for the content?,
openness,creating a syllabus,Are you open to making changes to the syllabus as the course progresses? How might you accommodate feedback from your students to improve the course?,
openness,creating a syllabus,Have you included ISBNs for the books required in your course so students can easily source them?,
openness,creating a syllabus,Do you provide a clear rubric for student success?,
openness,creating a syllabus,"Are you making your syllabus available through a public repository (e.g., Humanities Commons)?","Sharing your syllabus with a larger community of scholars allows other to build on your work and discover texts that to include in their own. Additonally, it creates a record of the class as it exists in this moment in time, which speaks to sustainability and can contribute to future scholarship on education."
collegiality,creating a syllabus,Do you cite the syllabi of others who have inspired yours?,
collegiality,creating a syllabus,Are you accommodating different learning styles?,
collegiality,creating a syllabus,Do you provide a clear rubric for student success?,
collegiality,creating a syllabus,How do your grading policies and practices help your students to achieve the course objectives?,
collegiality,creating a syllabus,Does your syllabus include a code of conduct?,
soundness,creating a syllabus,Are your learning objectives clear? Are they achievable?,
soundness,creating a syllabus,Do your learning objectives align with the assignments you have given?,
soundness,creating a syllabus,Does the course material draw on contemporary scholarship on the issues under consideration?,
soundness,creating a syllabus,What selection process did you follow to decide what was or was not included?,"Making the process behind your selection of texts clear to your students and colleagues can help them understand the organizational structure of the class, clarify themes and expectations, and make legible the active scholarly thought behind the creation of a syllabus."
soundness,creating a syllabus,Are the assignments and workload expectations aligned with the level of the course?,
equity,writing a book,Whose scholarship are you drawing on?,
equity,writing a book,Are you looking outside of the traditional “canon” for your discipline?,
equity,writing a book,"Have you credited or acknowledged research assistants, librarians, colleagues, and other “unseen” collaborators?",
